,lat,long,cluster_coordinates
466039,34.045462,-118.260776,0
469331,34.036056,-118.257608,0
470002,34.038556,-118.254213,0
471189,34.034122,-118.254631,0
475402,34.045117,-118.238197,0
476088,34.043318,-118.248479,0
477529,34.039051,-118.252119,0
478806,34.049021,-118.251427,0
481621,34.039563,-118.253945,0
482318,34.040772,-118.249629,0
484539,34.039879,-118.253666,0
485583,34.035153,-118.250827,0
487549,34.059751,-118.443971,1
489326,34.043528,-118.251811,0
490491,34.061297,-118.443104,1
491457,34.047123,-118.243859,0
492414,34.034812,-118.253902,0
493388,34.036357,-118.255681,0
494204,34.048741,-118.246511,0
495293,34.031906,-118.251864,0
496579,34.037797,-118.252782,0
497897,34.041725,-118.251975,0
499930,34.03744,-118.25649,0
500873,34.048121,-118.242074,0
501721,34.033696,-118.251268,0
503028,34.040179,-118.251824,0
503537,34.040865,-118.259281,0
504399,34.091575,-118.32675,2
505299,34.059911,-118.446364,1
506461,34.040848,-118.2571,0
508049,34.045428,-118.245209,0
510893,34.038626,-118.253749,0
512334,34.060168,-118.442411,1
513428,34.036366,-118.253815,0
514299,34.046291,-118.248787,0
515272,34.101748,-118.323209,2
516564,34.036838,-118.254543,0
517291,34.044727,-118.240573,0
518252,34.063419,-118.44695,1
519580,34.051836,-118.252185,0
521061,34.063703,-118.448791,1
522034,34.067157,-118.236713,0
522983,34.09161,-118.326018,2
523285,34.038134,-118.256757,0
523763,34.046301,-118.244142,0
524418,34.04734,-118.244404,0
525501,34.06143,-118.444238,1
526626,34.041378,-118.248984,0
527815,34.063013,-118.44521,1
529456,34.048522,-118.256674,0
530003,34.045328,-118.260059,0
532541,34.062237,-118.448226,1
533711,34.042081,-118.257918,0
535904,34.038847,-118.261422,0
536590,34.045793,-118.246059,0
538261,34.033358,-118.262662,0
538934,34.047027,-118.239566,0
540252,34.062341,-118.443291,1
541181,34.046087,-118.259349,0
541692,34.040219,-118.264825,0
542317,34.060581,-118.249723,0
543791,34.058915,-118.239285,0
544826,34.062318,-118.443229,1
545765,34.036735,-118.258116,0
547028,34.065588,-118.236537,0
548379,34.045616,-118.261013,0
551498,34.060237,-118.250375,0
552769,34.04065,-118.263976,0
553782,34.052229,-118.250152,0
555098,34.044856,-118.240237,0
555700,34.044432,-118.250694,0
558145,34.06396,-118.441981,1
558566,34.049927,-118.249076,0
564653,34.043206,-118.262039,0
569089,34.049882,-118.249806,0
570260,34.04999,-118.249019,0
574064,34.046843,-118.264072,0
574708,34.037248,-118.259522,0
575832,34.050712,-118.251009,0
576997,34.044059,-118.24648,0
577644,34.04494,-118.240381,0
578502,34.047568,-118.25796,0
579949,34.031643,-118.250327,0
582728,34.043151,-118.24732,0
583615,34.040899,-118.252136,0
584218,34.049116,-118.24863,0
586083,34.042005,-118.261674,0
586893,34.040539,-118.260508,0
587625,34.062442,-118.448304,1
588812,34.0487,-118.247991,0
590316,34.043353,-118.258429,0
591020,34.060434,-118.445484,1
593186,34.103638,-118.325527,2
594307,34.039925,-118.25053,0
596062,34.050029,-118.248983,0
598355,34.040322,-118.264728,0
599282,34.047135,-118.249756,0
599896,34.064532,-118.237086,0
601749,34.045649,-118.261067,0
604002,34.04526,-118.264664,0
605740,34.047061,-118.244006,0
607207,34.038505,-118.258475,0
608966,34.034305,-118.255997,0
610148,34.058872,-118.241077,0
611866,34.047184,-118.261998,0
613619,34.061159,-118.237351,0
614226,34.04978,-118.25072,0
616051,34.041478,-118.249065,0
616976,34.047638,-118.249283,0
617674,34.049883,-118.249116,0
619776,34.066264,-118.237898,0
621084,34.045385,-118.260037,0
622828,34.031414,-118.25103,0
624422,34.043585,-118.256734,0
625356,34.045117,-118.243744,0
629975,34.058222,-118.241943,0
630586,34.050515,-118.247447,0
631699,34.034658,-118.25571,0
633026,34.035183,-118.255506,0
633425,34.062211,-118.445511,1
634726,34.034747,-118.255466,0
635707,34.037453,-118.251796,0
636743,34.046255,-118.254005,0
640647,34.034877,-118.255535,0
642024,34.060931,-118.238129,0
643647,34.038094,-118.258806,0
644554,34.099714,-118.325575,2
645481,34.062436,-118.236734,0
646786,34.06239,-118.236756,0
647717,34.065629,-118.23651,0
648321,34.046989,-118.262176,0
649759,34.038293,-118.252471,0
650496,34.040825,-118.25932,0
651423,34.047565,-118.244773,0
653431,34.039002,-118.25232,0
654832,34.061926,-118.241336,0
655139,34.062662,-118.44582,1
656753,34.063777,-118.444027,1
657362,34.064182,-118.237765,0
659586,34.039447,-118.252052,0
660463,34.060909,-118.240793,0
663044,34.046601,-118.250484,0
664687,34.04912,-118.251336,0
669027,34.039524,-118.257962,0
671546,34.063775,-118.444205,1
671986,34.052968,-118.254355,0
672376,34.059391,-118.445188,1
675221,34.061711,-118.240188,0
676815,34.043115,-118.263842,0
678213,34.046934,-118.260258,0
679590,34.039383,-118.260681,0
681403,34.064797,-118.237194,0
682566,34.062492,-118.444444,1
683969,34.036986,-118.2597,0
684941,34.053156,-118.244999,0
685287,34.061383,-118.236499,0
685874,34.063057,-118.442527,1
686707,34.060649,-118.444171,1
688348,34.063933,-118.442065,1
688773,34.045275,-118.264731,0
690172,34.061501,-118.447432,1
691380,34.044459,-118.248647,0
694204,34.098128,-118.321633,2
694903,34.060299,-118.442476,1
696925,34.043305,-118.261947,0
697885,34.064629,-118.239072,0
698892,34.059886,-118.251039,0
700679,34.041248,-118.253194,0
703199,34.04202,-118.249926,0
704631,34.060159,-118.248333,0
707697,34.045799,-118.24584,0
712382,34.061734,-118.448196,1
714243,34.052702,-118.253945,0
715662,34.063369,-118.447146,1
716585,34.061639,-118.446312,1
718423,34.046738,-118.245396,0
720735,34.045241,-118.264574,0
723076,34.04546,-118.258424,0
724764,34.040348,-118.25008,0
727495,34.04301,-118.252607,0
728446,34.045539,-118.260081,0
729724,34.059172,-118.239768,0
731390,34.04706,-118.261855,0
732780,34.058837,-118.252275,0
733423,34.04699,-118.261921,0
734691,34.041338,-118.254623,0
736128,34.090662,-118.325223,2
736769,34.063162,-118.448759,1
737788,34.039152,-118.265059,0
739321,34.063251,-118.448658,1
740098,34.058767,-118.250447,0
741230,34.044659,-118.239513,0
742067,34.039212,-118.249777,0
743436,34.059518,-118.445384,1
745488,34.098157,-118.317002,2
747608,34.066484,-118.237572,0
748971,34.040364,-118.261474,0
749605,34.065907,-118.236573,0
750582,34.039976,-118.252254,0
751627,34.098143,-118.318889,2
752198,34.05724,-118.243084,0
753069,34.041918,-118.250039,0
755507,34.065925,-118.237858,0
756744,34.061728,-118.444159,1
757829,34.041645,-118.252858,0
759977,34.043412,-118.26105,0
762477,34.058656,-118.252156,0
763197,34.045407,-118.255043,0
763721,34.062399,-118.236589,0
764000,34.05873,-118.25201,0
764701,34.09865,-118.322402,2
765954,34.059258,-118.252227,0
767467,34.032543,-118.253672,0
768325,34.091889,-118.326751,2
769398,34.066378,-118.237841,0
770442,34.039238,-118.248162,0
771362,34.059212,-118.23897,0
772255,34.04684,-118.253708,0
773801,34.039917,-118.255998,0
774673,34.058853,-118.252805,0
775364,34.040041,-118.247608,0
776264,34.058615,-118.23765,0
778455,34.062824,-118.447136,1
780096,34.059658,-118.249246,0
780957,34.045517,-118.261574,0
781621,34.06156,-118.444208,1
782803,34.045571,-118.260944,0
785128,34.06151,-118.443054,1
786282,34.065566,-118.23825,0
787705,34.091395,-118.326751,2
788381,34.032357,-118.250409,0
790012,34.033099,-118.251975,0
790975,34.037998,-118.262589,0
792173,34.042217,-118.257793,0
793387,34.063253,-118.445492,1
794629,34.060559,-118.237477,0
795669,34.039142,-118.250056,0
798441,34.042787,-118.25118,0
800049,34.032341,-118.260194,0
805463,34.05881,-118.252849,0
806034,34.061556,-118.443042,1
806863,34.048672,-118.24187,0
807666,34.047815,-118.256291,0
808393,34.064746,-118.237221,0
809451,34.065635,-118.238216,0
810020,34.047774,-118.256329,0
