space_id,block_face,meter_type,rate_type,rate_range,metered_time_limit,lat,long
SW49,1000 N WESTERN AVE,Single-Space,FLAT,$1.00,1HR,34.089792,-118.309036
SG110,1400 N VISTA ST,Single-Space,FLAT,$1.00,2HR,34.097719,-118.351683
WA882,650 PARK VIEW ST,Single-Space,FLAT,$1.00,2HR,34.058866,-118.279901
WF98,8301 W 3RD ST,Single-Space,FLAT,$1.00,2HR,34.073064,-118.37288
MM772,5700 W WILSHIRE BLVD,Single-Space,FLAT,$1.00,1HR,34.062328,-118.354198
WB212,1901 S OLIVE ST,Single-Space,TOD,$0.50 - $2.00,4HR,34.031635,-118.268135
BF431,8000 W BEVERLY BLVD,Single-Space,FLAT,$1.00,2HR,34.075992,-118.364167
ED564,701 E 9TH ST,Single-Space,FLAT,$0.50,4HR,34.037178,-118.250065
CB1209,700 S OLIVE ST,Single-Space,FLAT,$2.00,4HR,34.045659,-118.256296
WSV129,12201 W WILSHIRE BLVD,Single-Space,FLAT,$1.00,2HR,34.043162,-118.46883
SH2,6201 W SANTA MONICA BLVD,Single-Space,FLAT,$1.00,1HR,34.090828,-118.324804
WS429,1600 S SEPULVEDA BLVD,Single-Space,FLAT,$1.00,2HR,34.048382,-118.444775
WA1731,700 CORONADO ST,Single-Space,FLAT,$1.00,2HR,34.058445,-118.282321
ED233,700 E 12TH ST,Single-Space,FLAT,$0.50,2HR,34.032727,-118.251514
56613,10678 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,34.052124,-118.431481
56323,10931 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,34.049161,-118.439619
PR583,5901 W PICO BLVD,Single-Space,FLAT,$1.00,1HR,34.052329,-118.370384
61331,121 WINDWARD AVE,Multi-Space,TOD,$1.00 - $2.00,1HR,33.988243,-118.471504
CB1405A,700 S HOPE ST,Single-Space,TOD,$6.00 - $7.00,2HR,34.047604,-118.257927
PR418,1401 S REEVES ST,Single-Space,FLAT,$1.00,2HR,34.054875,-118.396515
WW513,650 HARVARD BLVD,Single-Space,FLAT,$1.00,2HR,34.060016,-118.304102
BF593,8201 W MELROSE AVE,Single-Space,FLAT,$1.00,2HR,34.08378,-118.369996
CB3371,401 E 9TH ST,Single-Space,TOD,$3.00 - $6.00,2HR,34.039143,-118.252219
CC519,201 S HOPE ST,Single-Space,FLAT,$1.50,2HR,34.054088,-118.252062
