space_id,block_face,meter_type,rate_type,rate_range,metered_time_limit,lat,long
VW546,600 VIRGIL AVE,Single-Space,FLAT,$1.00,2HR,34.062615,-118.286938
CB3822,801 S SANTEE ST,Single-Space,TOD,$1.00 - $4.00,2HR,34.040251,-118.25319
AE590,701 DUCOMMUN ST,Single-Space,JUMP,$1.00/H - $4.00/10H,10HR,34.051866,-118.231709
CP17,21501 W SHERMAN WAY,Single-Space,FLAT,$1.00,2HR,34.20114,-118.599523
CB4139,1400 S MYRTLE ST,Single-Space,JUMP,$0.50/H - $2.00/10H,10HR,34.031916,-118.257042
WA1590,1701 PICO BLVD,Single-Space,FLAT,$1.00,1HR,34.045261,-118.278072
RA131,8700 W 3RD ST,Single-Space,FLAT,$2.00,30MIN,34.073508,-118.382919
SS170,11501 W SANTA MONICA BLVD,Single-Space,FLAT,$1.00,1HR,34.045007,-118.453499
WW2179,1501 WESTERN AVE,Single-Space,FLAT,$1.00,1HR,34.044929,-118.309123
SG308,1500 N ORANGE GROVE AVE,Single-Space,JUMP,$1.00/H - $4.00/10H,10HR,34.098323,-118.360414
BF388,300 N HAYWORTH AVE,Single-Space,FLAT,$1.00,2HR,34.076404,-118.362571
WW1333,500 WESTERN AVE,Single-Space,FLAT,$1.00,1HR,34.080532,-118.309011
CB2327,600 E PICO BLVD,Single-Space,TOD,$0.50 - $1.00,4HR,34.032931,-118.254419
CB152,1400 S HOPE ST,Single-Space,TOD,$1.50 - $2.00,4HR,34.037728,-118.266685
WU120,401 COLUMBIA AVE,Single-Space,FLAT,$1.00,2HR,34.056672,-118.266051
VH216,2101 HILLHURST AVE,Single-Space,FLAT,$1.00,2HR,34.110501,-118.287534
SS595,12001 S OHIO AVE,Single-Space,FLAT,$1.00,1HR,34.040511,-118.462674
WS251,1901 S WESTWOOD BLVD,Single-Space,FLAT,$1.00,1HR,34.047756,-118.435205
WW186,301 WESTERN AVE,Single-Space,FLAT,$1.00,1HR,34.076913,-118.309255
CB1754,201 E 12TH ST,Single-Space,TOD,$0.50 - $3.00,2HR,34.036697,-118.257883
56492,10768 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,34.05068,-118.433694
HO241,6301 W SELMA AVE,Single-Space,TOD,$0.50 - $1.00,2HR,34.099842,-118.328361
56174,10585 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,34.054452,-118.428846
LM138,7001 W MELROSE AVE,Single-Space,FLAT,$1.00,2HR,34.08352,-118.342993
MM201,601 S DETROIT ST,Single-Space,FLAT,$1.00,2HR,34.06265,-118.34518
WW595,650 ARDMORE AVE,Single-Space,FLAT,$1.00,2HR,34.06013,-118.301922
WU1287,1200 3RD ST,Single-Space,JUMP,$1.00/H - $4.00/10H,10HR,34.057176,-118.259141
VW501,600 COMMONWEALTH AVE,Single-Space,FLAT,$1.00,2HR,34.062398,-118.285549
VN296,14501 W FRIAR ST,Single-Space,FLAT,$1.00,2HR,34.185731,-118.450556
VW301,600 SHATTO PL,Single-Space,FLAT,$1.00,1HR,34.063237,-118.289825
RS113,2801 S ROBERTSON BLVD,Single-Space,FLAT,$1.00,1HR,34.035364,-118.389299
SG222,7800 W SUNSET BLVD,Single-Space,FLAT,$1.00,1HR,34.097954,-118.360851
CB4331,901 S SAN JULIAN ST,Single-Space,FLAT,$0.50,4HR,34.037898,-118.251374
SV307,6300 W SUNSET BLVD,Single-Space,FLAT,$0.50,2HR,34.097893,-118.327505
VN467,14600 W VICTORY BLVD,Single-Space,FLAT,$1.00,2HR,34.186559,-118.451364
CC1256,301 S LOS ANGELES ST,Single-Space,TOD,$0.50 - $3.00,2HR,34.048126,-118.24524
VW1218,3101 6TH ST,Single-Space,FLAT,$1.00,1HR,34.06378,-118.288834
LH219,2401 BROADWAY,Single-Space,FLAT,$1.00,1HR,34.073732,-118.216517
ED664E,900 S CROCKER ST,Single-Space,TOD,$0.50 - $1.50,2HR,34.035477,-118.249801
PR580,5901 W PICO BLVD,Single-Space,FLAT,$1.00,1HR,34.052172,-118.369564
CB4321,201 W 12TH ST,Single-Space,TOD,$0.50 - $1.00,2HR,34.038913,-118.261286
VN963,14401 W VICTORY BLVD,Single-Space,TOD,$0.50 - $1.00,2HR,34.186776,-118.448004
P170,1000 E SWARTHMORE AVE,Single-Space,FLAT,$1.00,2HR,34.047622,-118.525491
CB3586,800 S GRAND AVE,Single-Space,TOD,$1.50 - $2.00,4HR,34.045566,-118.258074
WW2449,3901 BEVERLY BLVD,Single-Space,FLAT,$1.00,2HR,34.076404,-118.293826
MV203B,3800 S GRAND VIEW BLVD,Single-Space,FLAT,$1.00,2HR,34.003272,-118.429868
AE662,100 S ALAMEDA ST,Single-Space,FLAT,$1.00,2HR,34.047393,-118.237953
56243,11032 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,34.04808,-118.442314
CB2383,1200 S SAN PEDRO ST,Single-Space,TOD,$0.50 - $1.00,2HR,34.033266,-118.253514
WU599,700 S UNION DR,Single-Space,FLAT,$1.00,2HR,34.053216,-118.271468
CC283,100 N HOPE ST,Single-Space,TOD,$1.50 - $2.00,4HR-30MIN,34.058146,-118.248071
SV238,1400 N WILCOX AVE,Single-Space,FLAT,$0.50,2HR,34.096457,-118.330928
SVV490,4700 WILLOW BROOK AVE,Single-Space,JUMP,$1.00/H - $4.00/6H,6HR,34.089373,-118.294346
WW177,301 WESTERN AVE,Single-Space,FLAT,$1.00,1HR,34.077914,-118.309257
WF32,8101 W 3RD ST,Single-Space,FLAT,$1.00,2HR,34.072375,-118.367086
WS833,10800 W SANTA MONICA BLVD,Single-Space,FLAT,$1.00,2HR,34.049784,-118.43585
ER81,5000 EAGLE ROCK BLVD,Single-Space,FLAT,$1.00,1HR,34.137467,-118.214386
LH18,200 AVENUE 24,Single-Space,FLAT,$1.00,30MIN,34.073362,-118.21686
CC827,300 N FREMONT AVE,Single-Space,FLAT,$0.50,2HR,34.060191,-118.250191
RS108,2801 S ROBERTSON BLVD,Single-Space,FLAT,$1.00,1HR,34.035774,-118.389188
SL361,3901 FOUNTAIN AVE,Single-Space,FLAT,$1.00,2HR,34.095873,-118.278456
SVV389,700 HELIOTROPE DR,Single-Space,FLAT,$1.00,4HR,34.084604,-118.294866
WS338,1900 S WESTWOOD BLVD,Single-Space,FLAT,$1.00,1HR,34.047133,-118.434398
VN23,6801 N VAN NUYS BLVD,Single-Space,FLAT,$1.00,2HR,34.194406,-118.448904
82706,31 WASHINGTON BLVD,Multi-Space,TOD,$1.00 - $2.00,2HR,33.979615,-118.466008
VW1479A,3200 4TH ST,Single-Space,FLAT,$1.00,2HR,34.066879,-118.29054
ED261,900 E 12TH ST,Single-Space,TOD,$1.00 - $1.50,4HR,34.031944,-118.249718
ER60,2200 COLORADO BLVD,Single-Space,FLAT,$1.00,1HR,34.139202,-118.215344
LT81,100 S SAN PEDRO ST,Single-Space,TOD,$1.50 - $4.00,2HR,34.049695,-118.241298
SVV359,4200 MELROSE AVE,Single-Space,FLAT,$1.00,1HR,34.083526,-118.292597
MM123B,700 S DETROIT ST,Single-Space,FLAT,$1.00,2HR,34.061828,-118.345214
CB3169,500 W 7TH ST,Single-Space,TOD,$4.00 - $5.00,2HR,34.046897,-118.256152
CP198,21400 W SHERMAN WAY,Single-Space,FLAT,$1.00,2HR,34.200925,-118.59867
BH202,2300 CESAR E CHAVEZ AVE,Single-Space,FLAT,$1.00,1HR,34.047059,-118.20858
WS363,1800 S WESTWOOD BLVD,Single-Space,FLAT,$1.00,1HR,34.048979,-118.435982
SP681,400 6TH ST,Single-Space,FLAT,$0.50,2HR,33.73882,-118.287565
CB3375,601 W OLYMPIC BL,Single-Space,TOD,$0.50 - $2.00,4HR,34.044039,-118.262023
WF526,600 S SAN VICENTE BLVD,Single-Space,JUMP,$1.00/H - $4.00/10H,10HR,34.065643,-118.372856
HW84,1400 N KINGSLEY DR,Single-Space,FLAT,$1.00,1HR,34.097723,-118.303079
LT169,101 S SAN PEDRO ST,Single-Space,TOD,$2.00 - $4.00,15MIN,34.050065,-118.241276
CB3748,501 S LOS ANGELES ST,Single-Space,TOD,$2.00 - $4.00,2HR,34.045787,-118.247956
MM21,700 S CURSON AVE,Single-Space,FLAT,$1.00,2HR,34.060982,-118.355515
BF23A,501 N FAIRFAX AVE,Single-Space,FLAT,$1.00,2HR,34.080523,-118.361561
BH394,1901 1ST ST,Single-Space,FLAT,$1.00,1HR,34.04567,-118.215271
WW1862,3801 7TH ST,Single-Space,FLAT,$1.00,2HR,34.059757,-118.309781
GA132,3500 LARGA AVE,Single-Space,FLAT,$1.00,2HR,34.118007,-118.260286
CB3531,301 E 15TH ST,Single-Space,FLAT,$0.50,4HR,34.032988,-118.25957
SV668A,1301 N LA BREA AVE,Single-Space,TOD,$0.50 - $1.00,2HR,34.095528,-118.344219
CP146,21700 W SHERMAN WAY,Single-Space,FLAT,$1.00,2HR,34.20092,-118.602173
SS44,1500 S PURDUE AVE,Single-Space,FLAT,$1.00,2HR,34.046322,-118.451072
VH229,2001 HILLHURST AVE,Single-Space,FLAT,$1.00,2HR,34.109407,-118.287533
BF244,700 N SPAULDING AVE,Single-Space,FLAT,$1.00,2HR,34.084103,-118.357321
VH168,2000 HILLHURST AVE,Single-Space,FLAT,$1.00,1HR,34.109034,-118.287324
WW2428,600 VAN NESS AVE,Single-Space,FLAT,$1.00,2HR,34.062038,-118.315225
WS729,1701 S MIDVALE AVE,Single-Space,FLAT,$1.00,2HR,34.049719,-118.438311
BH250,2600 CESAR E CHAVEZ AVE,Single-Space,FLAT,$1.00,1HR,34.045535,-118.205129
VN146,14500 W HAYNES ST,Single-Space,FLAT,$0.50,2HR,34.189636,-118.449385
SG245,1500 N FULLER AVE,Single-Space,FLAT,$1.00,2HR,34.098272,-118.348888
WB388,1800 S HOPE ST,Single-Space,FLAT,$0.50,4HR,34.033772,-118.269309
BF575,8201 W MELROSE AVE,Single-Space,FLAT,$1.00,2HR,34.083804,-118.368497
SV318,6200 W SUNSET BLVD,Single-Space,FLAT,$0.50,2HR,34.097904,-118.325543
L51,101 N LARCHMONT BLVD,Single-Space,FLAT,$1.00,2HR,34.07422,-118.323758
SL428,2700 SUNSET BLVD,Single-Space,JUMP,$1.00/H - $4.00/10H,10HR,34.081671,-118.271762
VN263,14500 W VICTORY BLVD,Single-Space,TOD,$0.50 - $1.00,2HR,34.186562,-118.45006
LT466,301 S ALAMEDA ST,Single-Space,FLAT,$0.50,4HR,34.045319,-118.238199
VN593,14400 W CALVERT ST,Single-Space,TOD,$0.50 - $1.00,2HR,34.18161,-118.448211
LC432,8400 W MELROSE PL,Single-Space,FLAT,$1.00,2HR,34.083542,-118.374678
ED723,901 S STANFORD AVE,Single-Space,FLAT,$0.50,4HR,34.034189,-118.248504
CB3669,801 S MAIN ST,Single-Space,TOD,$1.00 - $6.00,2HR,34.042299,-118.254023
HW109A,1501 N HOBART BLVD,Single-Space,FLAT,$1.00,1HR,34.098603,-118.305714
CB136,1501 S HOPE ST,Single-Space,TOD,$1.50 - $2.00,4HR,34.036712,-118.267558
WA1519,1301 VALENCIA ST,Single-Space,FLAT,$1.00,2HR,34.043206,-118.275286
CB1374,1000 S HOPE ST,Single-Space,TOD,$0.50 - $2.00,4HR,34.043305,-118.261947
WN183,901 AVALON BLVD,Single-Space,FLAT,$0.50,2HR,33.781989,-118.262695
HP63,100 AVENUE 58,Single-Space,FLAT,$1.00,2HR,34.109653,-118.19187
WA868,650 PARK VIEW ST,Single-Space,FLAT,$1.00,2HR,34.058473,-118.280155
CB949,100 E 8TH ST,Single-Space,TOD,$3.00 - $6.00,2HR,34.042422,-118.252986
WF567,6701 W COLGATE AVE,Single-Space,FLAT,$1.00,2HR,34.070561,-118.375595
SS270,11900 W SANTA MONICA BLVD,Single-Space,FLAT,$1.00,2HR,34.041482,-118.460933
SL605,1401 GLENDALE BLVD,Single-Space,FLAT,$1.00,2HR,34.081408,-118.260298
VN1224,14500 W CALVERT ST,Single-Space,TOD,$0.50 - $1.00,2HR,34.181606,-118.450604
SP508,601 CENTRE ST,Single-Space,FLAT,$0.75,2HR,33.73809,-118.283619
CB2213A,800 S SAN JULIAN ST,Single-Space,TOD,$0.50 - $3.00,2HR,34.038595,-118.250493
SH312,6600 W SANTA MONICA BLVD,Single-Space,FLAT,$1.00,1HR,34.090636,-118.334206
AE29,700 3RD ST,Single-Space,JUMP,$1.00/H - $4.00/10H,10HR,34.045608,-118.236891
VW446,651 WESTMORELAND AVE,Single-Space,FLAT,$1.00,1HR,34.061323,-118.289181
WS449,1500 S SEPULVEDA BLVD,Single-Space,FLAT,$1.00,2HR,34.049975,-118.446147
BH298A,2100 1ST ST,Single-Space,FLAT,$1.00,1HR,34.044628,-118.213346
SW198,931 N WESTERN AVE,Single-Space,FLAT,$1.00,1HR,34.087911,-118.309273
WS354,10801 W MISSOURI AVE,Single-Space,FLAT,$1.00,2HR,34.048385,-118.4352
ED349,901 E PICO BLVD,Single-Space,FLAT,$0.50,2HR,34.031142,-118.250069
VN316A,14500 W FRIAR ST,Single-Space,FLAT,$1.00,2HR,34.185623,-118.449
CB1261,1200 S GRAND AVE,Single-Space,FLAT,$0.50,2HR,34.03965,-118.263638
VS282,4901 SUNSET BLVD,Single-Space,FLAT,$1.00,2HR,34.09825,-118.297729
HO623,1701 N WILCOX AVE,Single-Space,TOD,$0.50 - $2.00,2HR,34.102874,-118.331117
PR737,1201 S LA JOLLA AVE,Single-Space,FLAT,$1.00,1HR,34.053489,-118.374031
C74,1200 JEFFERSON BLVD,Single-Space,FLAT,$1.00,4HR,34.025388,-118.293515
VH22,4601 HOLLYWOOD BLVD,Single-Space,FLAT,$1.00,1HR,34.100701,-118.29077
CB981,1000 S MAPLE AVE,Single-Space,TOD,$0.50 - $6.00,2HR,34.03756,-118.254697
WV223,10900 W WEYBURN AVE,Single-Space,TOD,$0.50 - $2.00,2HR,34.062496,-118.445753
CB455,1301 S SANTEE ST,Single-Space,TOD,$0.50 - $1.50,2HR,34.034688,-118.258723
VN1209,14500 W DELANO ST,Single-Space,TOD,$0.50 - $1.00,2HR,34.182598,-118.450001
BF376,7900 W MELROSE AVE,Single-Space,FLAT,$1.00,2HR,34.083693,-118.363031
VW1394,3101 7TH ST,Single-Space,FLAT,$1.00,1HR,34.059853,-118.292475
PR406,9600 W PICO BLVD,Single-Space,FLAT,$1.00,1HR,34.055061,-118.397805
SV788A,1201 N HIGHLAND AVE,Single-Space,TOD,$0.50 - $1.00,2HR,34.092804,-118.338737
VN44,6701 N VAN NUYS BLVD,Single-Space,FLAT,$1.00,2HR,34.19323,-118.448871
WS800B,1501 S PONTIUS AVE,Single-Space,FLAT,$1.00,2HR,34.049457,-118.446743
ED271,900 E 12TH ST,Single-Space,TOD,$1.00 - $1.50,4HR,34.031557,-118.248772
BF654,600 N FLORES ST,Single-Space,FLAT,$1.00,2HR,34.083364,-118.37119
BF539,801 N FAIRFAX AVE,Single-Space,FLAT,$1.00,2HR,34.086587,-118.361603
LM376,600 N FORMOSA AVE,Single-Space,FLAT,$1.00,2HR,34.083162,-118.346167
CP180,21500 W SHERMAN WAY,Single-Space,FLAT,$1.00,2HR,34.200924,-118.599777
CC1122,200 S GRAND AVE,Single-Space,TOD,$3.00 - $4.00,2HR,34.053882,-118.250276
WU781,901 GRATTAN ST,Single-Space,FLAT,$1.00,2HR,34.050227,-118.272415
WV242,900 S BROXTON AVE,Single-Space,TOD,$0.50 - $2.00,2HR,34.063188,-118.446945
SW216,701 N WESTERN AVE,Single-Space,FLAT,$1.00,2HR,34.0845,-118.309258
VW1737,1301 ORCHARD AVE,Single-Space,FLAT,$1.00,2HR,34.046799,-118.288603
WW1343,500 WESTERN AVE,Single-Space,FLAT,$1.00,1HR,34.081279,-118.309003
BH93,2101 CESAR E CHAVEZ AVE,Single-Space,FLAT,$1.00,1HR,34.048258,-118.21082
52213,1130 JEFFERSON BLVD,Multi-Space,FLAT,$1.00,4HR,34.025399,-118.289698
LM414,501 N LA BREA AVE,Single-Space,FLAT,$1.00,1HR,34.081096,-118.34417
BH364,2401 1ST ST,Single-Space,FLAT,$1.00,1HR,34.043419,-118.20891
PM164,9900 W SOUTH VENICE BLVD,Single-Space,FLAT,$1.00,1HR,34.022976,-118.399112
SH234,1001 N HIGHLAND AVE,Single-Space,FLAT,$1.00,2HR,34.089687,-118.338719
WSV138,1100 S WELLESLEY AVE,Single-Space,FLAT,$1.00,2HR,34.043089,-118.469462
SG188B,1500 N LAUREL CANYON BLVD,Single-Space,FLAT,$1.00,2HR,34.098327,-118.365026
LM709A,100 N LA BREA AVE,Single-Space,FLAT,$1.00,2HR,34.07381,-118.343914
VH94,1801 VERMONT AVE,Single-Space,FLAT,$1.00,1HR,34.104218,-118.291879
CC793,201 N FREMONT AVE,Single-Space,TOD,$0.50 - $1.50,2HR,34.059111,-118.252506
VW1237,951 VERMONT AVE,Single-Space,FLAT,$1.00,1HR,34.053696,-118.291722
BF98,101 N FAIRFAX AVE,Single-Space,FLAT,$1.00,1HR,34.075212,-118.36153
WW2553,4300 BEVERLY BLVD,Single-Space,FLAT,$1.00,1HR,34.076203,-118.302366
ED108,700 E 8TH ST,Single-Space,FLAT,$1.00,15MIN,34.037814,-118.248487
93231,3724 SUNSET BLVD,Multi-Space,FLAT,$1.00,2HR,34.090757,-118.278661
CB2262,1200 S SAN JULIAN ST,Single-Space,TOD,$0.50 - $1.00,4HR,34.033507,-118.254952
61212,298 MAIN ST,Multi-Space,TOD,$0.50 - $1.50,2HR,33.996369,-118.477818
WA791,2501 7TH ST,Single-Space,FLAT,$1.00,2HR,34.058752,-118.281685
CB3505,300 W 12TH ST,Single-Space,FLAT,$0.50,4HR,34.039609,-118.262598
LC54,900 N LA CIENEGA BLVD,Single-Space,FLAT,$1.00,2HR,34.088211,-118.376311
VW845,100 VERMONT AVE,Single-Space,FLAT,$1.00,1HR,34.070673,-118.29155
HO249,6401 W SELMA AVE,Single-Space,TOD,$1.00 - $4.00,2HR,34.099832,-118.330493
SS55,1500 S BUTLER AVE,Single-Space,FLAT,$1.00,2HR,34.045729,-118.452001
SL355,3901 FOUNTAIN AVE,Single-Space,FLAT,$1.00,2HR,34.095871,-118.277726
MD39,1000 KINGSTON AVE,Single-Space,FLAT,$1.00,4HR,34.056329,-118.209875
MM225,600 S DUNSMUIR AVE,Single-Space,FLAT,$1.00,2HR,34.062764,-118.348205
VN821,6200 N VAN NUYS BLVD,Single-Space,TOD,$0.50 - $1.00,30MIN,34.183327,-118.448567
BF474,300 N SIERRA BONITA AVE,Single-Space,FLAT,$1.00,2HR,34.076531,-118.354197
VW583,600 WESTMORELAND AVE,Single-Space,FLAT,$1.00,1HR,34.062256,-118.288338
PB196,1300 S OGDEN DR,Single-Space,FLAT,$1.00,2HR,34.0513,-118.36437
PB74,5101 W PICO BLVD,Single-Space,FLAT,$1.00,2HR,34.048234,-118.351276
CB251A,1400 S HILL ST,Single-Space,FLAT,$0.50,4HR,34.035621,-118.263687
VN329,14501 W SYLVAN ST,Single-Space,TOD,$0.50 - $1.00,2HR,34.184734,-118.449384
CC1176,401 S GRAND AVE,Single-Space,TOD,$3.00 - $5.00,2HR,34.051544,-118.252775
GA1A,3301 GLENDALE BLVD,Single-Space,FLAT,$1.00,1HR,34.119195,-118.259819
HP172,101 AVENUE 58,Single-Space,FLAT,$1.00,2HR,34.11077,-118.192264
CC927,851 W CESAR E CHAVEZ BLVD,Single-Space,FLAT,$0.50,4HR,34.061925,-118.245253
CB1356,1100 S HOPE ST,Single-Space,TOD,$0.50 - $2.00,2HR,34.041086,-118.264017
VW533,601 COMMONWEALTH AVE,Single-Space,FLAT,$1.00,2HR,34.063024,-118.285754
WB30,2000 S BROADWAY,Single-Space,FLAT,$0.50,4HR,34.030354,-118.266364
PB45,1300 S REDONDO BLVD,Single-Space,FLAT,$1.00,2HR,34.048213,-118.349095
CB1250,301 W PICO BLVD,Single-Space,FLAT,$0.50,4HR,34.038626,-118.26369
VN415,6400 N VESPER AVE,Single-Space,FLAT,$1.00,2HR,34.187892,-118.450835
VW94,2900 JAMES M WOOD BLVD,Single-Space,FLAT,$1.00,1HR,34.055879,-118.292438
WV63,1101 S GAYLEY AVE,Single-Space,TOD,$0.50 - $2.00,2HR,34.059856,-118.446313
PR22,1200 S WOOSTER ST,Single-Space,FLAT,$1.00,2HR,34.05497,-118.382519
WA976,2100 JAMES M WOOD BLVD,Single-Space,FLAT,$1.00,2HR,34.053632,-118.279525
WV167,1001 S BROXTON AVE,Single-Space,TOD,$0.50 - $2.00,2HR,34.062212,-118.446938
LM360A,7200 W MELROSE AVE,Single-Space,FLAT,$1.00,2HR,34.083435,-118.347876
WS475,1601 S SEPULVEDA BLVD,Single-Space,FLAT,$1.00,1HR,34.048876,-118.44552
WA1324,401 GRAND VIEW ST,Single-Space,FLAT,$1.00,2HR,34.063101,-118.275331
CC1208,301 S FIGUEROA ST,Single-Space,TOD,$4.00 - $5.00,2HR,34.054151,-118.255563
SL513,2401 SILVER LAKE BLVD,Single-Space,JUMP,$1.00/H - $4.00/10H,10HR,34.100905,-118.258815
VW1668,1301 CATALINA ST,Single-Space,FLAT,$1.00,2HR,34.047012,-118.29479
CB3648,501 S SPRING ST,Single-Space,TOD,$5.00 - $6.00,2HR,34.046541,-118.25054
CB4329,100 W 12TH ST,Single-Space,TOD,$0.50 - $1.00,4HR,34.038373,-118.260681
WU1040,1000 INGRAHAM ST,Single-Space,FLAT,$1.00,4HR,34.051318,-118.262629
C568,3201 FIGUEROA ST,Single-Space,FLAT,$1.00,1HR,34.022862,-118.279542
ER155,2200 MERTON AVE,Single-Space,FLAT,$1.00,1HR,34.13779,-118.215064
CB2401,900 S SAN PEDRO ST,Single-Space,FLAT,$0.50,4HR,34.03604,-118.251475
CB3143A,201 E 6TH ST,Single-Space,TOD,$0.50 - $4.00,2HR,34.044271,-118.24833
CB1852,201 E WINSTON ST,Single-Space,TOD,$1.50 - $4.00,2HR,34.045695,-118.245576
SV405A,1201 N VINE ST,Single-Space,TOD,$0.50 - $1.00,2HR,34.093877,-118.326762
WB401,1800 S HOPE ST,Single-Space,FLAT,$0.50,4HR,34.034257,-118.268991
CT417,201 W ALPINE ST,Single-Space,TOD,$0.50 - $1.50,2HR,34.062044,-118.237272
ED475,700 S MERCHANT ST,Single-Space,FLAT,$0.50,4HR,34.034908,-118.243648
WW559,650 KINGSLEY DR,Single-Space,FLAT,$1.00,2HR,34.060969,-118.303014
LT469,301 S ALAMEDA ST,Single-Space,FLAT,$0.50,4HR,34.045117,-118.238197
VW644A,3300 WILSHIRE BLVD,Single-Space,FLAT,$1.00,1HR,34.06168,-118.294576
MM317A,601 S MASSELIN AVE,Single-Space,FLAT,$1.00,30MIN,34.063092,-118.352574
MD497,1201 MISSION RD,Single-Space,FLAT,$1.00,4HR,34.062548,-118.211724
LM251,7101 W MELROSE AVE,Single-Space,FLAT,$1.00,2HR,34.083555,-118.345933
WW212,101 WESTERN AVE,Single-Space,FLAT,$1.00,1HR,34.074119,-118.309239
CT91,700 N BROADWAY,Single-Space,TOD,$0.50 - $2.00,2HR,34.060922,-118.238918
GA9,3201 GLENDALE BLVD,Single-Space,FLAT,$1.00,2HR,34.118534,-118.260569
WW2148,3600 WILSHIRE BLVD,Single-Space,FLAT,$1.00,1HR,34.061627,-118.303641
CB1936,1601 S SANTEE ST,Single-Space,FLAT,$0.50,4HR,34.032226,-118.260712
ED134,1200 E 8TH ST,Single-Space,FLAT,$0.50,4HR,34.033825,-118.243676
56816,10488 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,34.055541,-118.426409
LT484,301 S ALAMEDA ST,Single-Space,FLAT,$0.50,4HR,34.043492,-118.23824
WW237,101 WESTERN AVE,Single-Space,FLAT,$1.00,1HR,34.071624,-118.309227
HW486A,5500 W HOLLYWOOD BLVD,Single-Space,FLAT,$1.00,1HR,34.101637,-118.310841
VM47,1000 85TH ST,Single-Space,FLAT,$1.00,4HR,33.960902,-118.292213
VS531,1201 VERMONT AVE,Single-Space,FLAT,$1.00,2HR,34.093873,-118.291869
ER12,2101 COLORADO BLVD,Single-Space,FLAT,$1.00,2HR,34.139298,-118.212496
CB3056,301 E 4TH ST,Single-Space,TOD,$0.50 - $5.00,2HR,34.046301,-118.244142
C491,500 28TH ST,Single-Space,FLAT,$1.00,1HR,34.026199,-118.276403
SG218,7900 W SUNSET BLVD,Single-Space,FLAT,$1.00,1HR,34.097933,-118.362248
CB2854,1500 S OLIVE ST,Single-Space,FLAT,$1.00,30MIN,34.035351,-118.265145
CB3944,300 E WINSTON ST,Single-Space,TOD,$0.50 - $6.00,2HR,34.045233,-118.244416
GA105,3501 MADERA AVE,Single-Space,FLAT,$1.00,1HR,34.116661,-118.261597
CC1221A,300 S LOS ANGELES ST,Single-Space,TOD,$0.50 - $6.00,2HR,34.047712,-118.245371
CB3840,800 S SANTEE ST,Single-Space,TOD,$2.00 - $4.00,2HR,34.040355,-118.252844
WB19,2000 S BROADWAY,Single-Space,FLAT,$0.50,4HR,34.02974,-118.266772
SS76,11500 W SANTA MONICA BLVD,Single-Space,FLAT,$1.00,1HR,34.045271,-118.452287
WA1739,2101 VALLEY ST,Single-Space,FLAT,$1.00,4HR,34.065074,-118.271937
52415,620 JEFFERSON BLVD,Multi-Space,FLAT,$1.00,4HR,34.022595,-118.281766
L133,200 N LARCHMONT BLVD,Single-Space,FLAT,$1.00,2HR,34.075449,-118.32352
SS415,1501 S SAWTELLE BLVD,Single-Space,FLAT,$1.00,1HR,34.047367,-118.449269
SG345,1401 N ORANGE GROVE AVE,Single-Space,JUMP,$1.00/H - $4.00/10H,10HR,34.097749,-118.360435
VS106,4400 SUNSET BLVD,Single-Space,FLAT,$1.00,2HR,34.096194,-118.284723
CB715,801 S MAPLE AVE,Single-Space,TOD,$2.00 - $5.00,2HR,34.040666,-118.251455
VN160,14501 W HAMLIN ST,Single-Space,TOD,$0.50 - $1.00,2HR,34.188744,-118.449165
CB1240,1201 S OLIVE ST,Single-Space,FLAT,$0.50,4HR,34.039248,-118.262518
LM725,200 N LA BREA AVE,Single-Space,FLAT,$1.00,2HR,34.075339,-118.343917
HO75A,1600 N CHEROKEE AVE,Single-Space,TOD,$0.50 - $3.00,2HR,34.10037,-118.334966
VN1134,6600 N VAN NUYS BLVD,Single-Space,FLAT,$1.00,2HR,34.191505,-118.448573
WA342,901 ALVARADO ST,Single-Space,FLAT,$1.00,1HR,34.052597,-118.279401
WB106,2200 S HILL ST,Single-Space,TOD,$0.50 - $2.00,4HR,34.028912,-118.268658
CB2199,701 S SAN JULIAN ST,Single-Space,TOD,$0.50 - $6.00,2HR,34.039743,-118.24935
CC619,501 N HILL ST,Single-Space,FLAT,$0.50,4HR,34.058014,-118.242144
SV208,6600 W SUNSET BLVD,Single-Space,FLAT,$0.50,2HR,34.097885,-118.333559
BF462,101 S FAIRFAX AVE,Single-Space,FLAT,$1.00,1HR,34.072294,-118.361516
VW118,2800 JAMES M WOOD BLVD,Single-Space,FLAT,$1.00,1HR,34.055838,-118.290489
VN935,14401 W FRIAR ST,Single-Space,TOD,$0.50 - $1.00,2HR,34.185732,-118.448441
WN1,600 AVALON BLVD,Single-Space,FLAT,$0.50,2HR,33.777371,-118.262137
WU946,1400 OLYMPIC BLVD,Single-Space,FLAT,$1.00,2HR,34.047889,-118.271578
RA13,100 S ROBERTSON BLVD,Single-Space,FLAT,$2.00,2HR,34.074861,-118.383664
SV644,1501 N LA BREA AVE,Single-Space,FLAT,$0.50,2HR,34.099483,-118.344686
BF256,7701 W MELROSE AVE,Single-Space,FLAT,$1.00,2HR,34.083825,-118.358637
